id,lineage,sequence_length
"""OV502539""","""AY.36.1""",59218
"""OW646043""","""AY.36.1""",59632
"""OV587109""","""AY.36.1""",59610
"""OV887195""","""AY.36.1""",59616
"""OV542337""","""AY.36.1""",59648
"""OV466212""","""AY.36.1""",59638
"""OV589859""","""AY.36.1""",59650
"""OV502835""","""AY.36.1""",59636
"""OV221746""","""AY.36.1""",59654
"""OV248042""","""AY.36.1""",59636
"""OV223952""","""AY.36.1""",59636
"""OW559630""","""AY.36.1""",59062
"""OV064606""","""AY.36.1""",59026
"""OW307924""","""AY.36.1""",59062
"""OV221504""","""AY.36.1""",59062
"""OW742663""","""AY.36.1""",59062
"""OV516971""","""AY.36.1""",59062
"""OV224041""","""AY.36.1""",59062
"""OV540952""","""AY.36.1""",59062
"""OW308962""","""AY.36.1""",59062
"""OW558249""","""AY.36.1""",59062
"""OW308147""","""AY.36.1""",59616
"""OV662002""","""AY.36.1""",59062
"""OW622952""","""AY.36.1""",59062
"""OW314946""","""AY.36.1""",59062
"""OW653588""","""AY.36.1""",59062
"""OV208185""","""AY.36.1""",59062
"""OV207310""","""AY.36.1""",59636
"""OV224061""","""AY.36.1""",59642
"""OW319099""","""AY.36.1""",59644
"""OV014942""","""AY.36.1""",59634
"""OV245483""","""AY.36.1""",59652
"""OV497580""","""AY.36.1""",59636
"""OV541966""","""AY.36.1""",59632
"""OW309231""","""AY.36.1""",59662
"""OV223999""","""AY.36.1""",59654
"""OW674478""","""AY.36.1""",59628
"""OV458596""","""AY.36.1""",59654
"""OV211234""","""AY.36.1""",59062
"""OV116014""","""AY.36.1""",59026
"""OV668236""","""AY.36.1""",59062
"""OV425164""","""AY.36.1""",59738
"""OX205933""","""AY.36.1""",59062
"""OU980488""","""AY.36.1""",59586
"""OV618322""","""AY.36.1""",59410
"""OX007885""","""AY.36.1""",59540
"""OV500157""","""AY.36.1""",59638
"""OV428728""","""AY.36.1""",59080
"""OV680142""","""AY.36.1""",59062
"""OV490538""","""AY.36.1""",59062
"""OV221639""","""AY.36.1""",59796
"""OV437800""","""AY.36.1""",59062
"""OV541331""","""AY.36.1""",59062
"""OV544461""","""AY.36.1""",59554
"""OV201409""","""AY.36.1""",59554
"""OW547124""","""AY.36.1""",59554
"""OV665729""","""AY.36.1""",59554
"""OV518156""","""AY.36.1""",59554
"""OV886724""","""AY.36.1""",59740
"""OW652539""","""AY.36.1""",59792
"""OV501162""","""AY.36.1""",59416
"""OV509958""","""AY.36.1""",59418
"""OV541474""","""AY.36.1""",59416
"""OV200562""","""AY.36.1""",59416
"""OV696047""","""AY.36.1""",58808
"""OV221664""","""AY.36.1""",59356
"""OV613015""","""AY.36.1""",59120
"""OV631785""","""AY.36.1""",59120
"""OV501584""","""AY.36.1""",59416
"""OV622002""","""AY.36.1""",59418
"""OV589879""","""AY.36.1""",59790
"""OV511621""","""AY.36.1""",59554
"""OV661901""","""AY.36.1""",59554
"""OV543311""","""AY.36.1""",59738
"""OV498212""","""AY.36.1""",59688
"""OV200201""","""AY.36.1""",59738
"""OV666234""","""AY.36.1""",59738
"""OV693083""","""AY.36.1""",59738
"""OV011424""","""AY.36.1""",59688
"""OV541916""","""AY.36.1""",59688
"""OV536821""","""AY.36.1""",59738
"""OU980196""","""AY.36.1""",59738
"""OW300718""","""AY.36.1""",59688
"""OV206755""","""AY.36.1""",59688
"""OV116193""","""AY.36.1""",59062
"""OV245492""","""AY.36.1""",59732
"""OV518235""","""AY.36.1""",59726
"""OV669720""","""AY.36.1""",59632
"""OV244392""","""AY.36.1""",59578
"""OV499216""","""AY.36.1""",59716
"""OV116067""","""AY.36.1""",59558
"""OV692227""","""AY.36.1""",59062
"""OW542322""","""AY.36.1""",59062
"""OV107781""","""AY.36.1""",59736
"""OW652137""","""AY.36.1""",59722
"""OV640544""","""AY.36.1""",59554
"""OV672952""","""AY.36.1""",59554
"""OV613720""","""AY.36.1""",59638
"""OV539688""","""AY.36.1""",59796
"""OW643381""","""AY.36.1""",59062
"""OV538643""","""AY.36.1""",59586
"""OV454285""","""AY.36.1""",59554
"""OV507202""","""AY.36.1""",59554
"""OV229833""","""AY.36.1""",59662
"""OW319279""","""AY.36.1""",59662
"""OV224402""","""AY.36.1""",59654
"""OW999915""","""AY.36.1""",59634
"""OU974345""","""AY.36.1""",59634
"""OV241670""","""AY.36.1""",59638
"""OV246489""","""AY.36.1""",59654
"""OV234671""","""AY.36.1""",59796
"""OV459271""","""AY.36.1""",59742
"""OV013230""","""AY.36.1""",59728
"""OV236338""","""AY.36.1""",59764
"""OV224117""","""AY.36.1""",59740
"""OW649135""","""AY.36.1""",59794
"""OX003526""","""AY.36.1""",59728
"""OV856536""","""AY.36.1""",59796
"""OW714982""","""AY.36.1""",59776
"""OV591157""","""AY.36.1""",59788
"""OW614328""","""AY.36.1""",59414
"""OV223270""","""AY.36.1""",59736
"""OV242578""","""AY.36.1""",59742
"""OV223370""","""AY.36.1""",59792
"""OV497498""","""AY.36.1""",59776
"""OV424376""","""AY.36.1""",59554
"""OV207854""","""AY.36.1""",59616
"""OV207383""","""AY.36.1""",59616
"""OV666085""","""AY.36.1""",59554
"""OW580531""","""AY.36.1""",59554
"""OW688317""","""AY.36.1""",59554
"""OW319788""","""AY.36.1""",59554
"""OV245070""","""AY.36.1""",59662
"""OV852622""","""AY.36.1""",59648
"""OW619610""","""AY.36.1""",59632
"""OV424063""","""AY.36.1""",59644
"""OW305884""","""AY.36.1""",59650
"""OV223169""","""AY.36.1""",59654
"""OV496151""","""AY.36.1""",59662
"""OV511535""","""AY.36.1""",59608
"""OW617887""","""AY.36.1""",59628
"""OW529452""","""AY.36.1""",59654
"""OW767483""","""AY.36.1""",59632
"""OV662254""","""AY.36.1""",59742
"""OV657037""","""AY.36.1""",59710
"""OW610340""","""AY.36.1""",59628
"""OV500550""","""AY.36.1""",59570
"""OV120424""","""AY.36.1""",59736
"""OV202615""","""AY.36.1""",59764
"""OV888447""","""AY.36.1""",59418
"""OV640892""","""AY.36.1""",59416
"""OV664365""","""AY.36.1""",59688
"""OV590455""","""AY.36.1""",59738
"""OV505947""","""AY.36.1""",59688
"""OV245420""","""AY.36.1""",59688
"""OW525994""","""AY.36.1""",59738
"""OV590508""","""AY.36.1""",59688
"""OV020682""","""AY.36.1""",59688
"""OV691685""","""AY.36.1""",59688
"""OV113306""","""AY.36.1""",59688
"""OV617986""","""AY.36.1""",59738
"""OV540315""","""AY.36.1""",59738
"""OV694940""","""AY.36.1""",59688
"""OW645930""","""AY.36.1""",59688
"""OV014777""","""AY.36.1""",59738
"""OV501195""","""AY.36.1""",59628
"""OV515568""","""AY.36.1""",59642
"""OV618374""","""AY.36.1""",59644
"""OW580288""","""AY.36.1""",59650
"""OW666857""","""AY.36.1""",59662
"""OV503596""","""AY.36.1""",59654
"""OV221497""","""AY.36.1""",59662
"""OV638276""","""AY.36.1""",59654
"""OV239517""","""AY.36.1""",59632
"""OV209140""","""AY.36.1""",59662
"""OV242664""","""AY.36.1""",59654
"""OV468613""","""AY.36.1""",59638
"""OV460368""","""AY.36.1""",59642
"""OV221841""","""AY.36.1""",59644
"""OV466159""","""AY.36.1""",59654
"""OW692208""","""AY.36.1""",59644
"""OV541144""","""AY.36.1""",59522
"""OW673758""","""AY.36.1""",59662
"""OW707992""","""AY.36.1""",59650
"""OV850828""","""AY.36.1""",59646
"""OV207730""","""AY.36.1""",59210
"""OW630451""","""AY.36.1""",59062
"""OV248503""","""AY.36.1""",59722
"""OV203415""","""AY.36.1""",59392
"""OV540965""","""AY.36.1""",59616
"""OV543350""","""AY.36.1""",59762
"""OW591890""","""AY.36.1""",59720
"""OV665297""","""AY.36.1""",59554
"""OV544094""","""AY.36.1""",59554
"""OW556712""","""AY.36.1""",59554
"""OV618641""","""AY.36.1""",59554
"""OV243631""","""AY.36.1""",59554
"""OV693234""","""AY.36.1""",59554
"""OV242723""","""AY.36.1""",59062
"""OV199719""","""AY.36.1""",59062
"""OX115225""","""AY.36.1""",59710
"""OV221575""","""AY.36.1""",59490
"""OW646787""","""AY.36.1""",59724
"""OV223342""","""AY.36.1""",59622
"""OV644949""","""AY.36.1""",59448
"""OW300184""","""AY.36.1""",59554
"""OV473743""","""AY.36.1""",59554
"""OV539306""","""AY.36.1""",59554
"""OV021013""","""AY.36.1""",59554
"""OV671846""","""AY.36.1""",59554
"""OV495498""","""AY.36.1""",58636
"""OV647979""","""AY.36.1""",59356
"""OV498500""","""AY.36.1""",59418
"""OV540867""","""AY.36.1""",58692
"""OV670578""","""AY.36.1""",59418
"""OV208867""","""AY.36.1""",59616
"""OV243847""","""AY.36.1""",59616
"""OV458250""","""AY.36.1""",59640
"""OV207578""","""AY.36.1""",59640
"""OU980158""","""AY.36.1""",59634
"""OW575340""","""AY.36.1""",59638
"""OW629849""","""AY.36.1""",59632
"""OW627604""","""AY.36.1""",59648
"""OV497518""","""AY.36.1""",59652
"""OW447999""","""AY.36.1""",59590
"""OV618448""","""AY.36.1""",59554
"""OW550640""","""AY.36.1""",59554
"""OV500844""","""AY.36.1""",59062
"""OV512679""","""AY.36.1""",59062
"""OV658466""","""AY.36.1""",59056
"""OW581487""","""AY.36.1""",59554
"""OV541050""","""AY.36.1""",59654
"""OW549843""","""AY.36.1""",59712
"""OV238100""","""AY.36.1""",59590
"""OV693338""","""AY.36.1""",59080
"""OV500557""","""AY.36.1""",59062
"""OV209143""","""AY.36.1""",59718
"""OV248138""","""AY.36.1""",59718
"""OV207299""","""AY.36.1""",59322
"""OV520524""","""AY.36.1""",59286
"""OV541672""","""AY.36.1""",59236
"""OW677941""","""AY.36.1""",59290
"""OW627648""","""AY.36.1""",59286
"""OW673518""","""AY.36.1""",59640
"""OV207424""","""AY.36.1""",59640
"""OV508516""","""AY.36.1""",59554
"""OV645625""","""AY.36.1""",59554
"""OV541930""","""AY.36.1""",59554
"""OV206779""","""AY.36.1""",59554
"""OV241849""","""AY.36.1""",59554
"""OV649968""","""AY.36.1""",58996
"""OW314632""","""AY.36.1""",59054
"""OW623277""","""AY.36.1""",59418
"""OV695348""","""AY.36.1""",58806
"""OV657832""","""AY.36.1""",58996
"""OW623558""","""AY.36.1""",59054
"""OV203537""","""AY.36.1""",59104
"""OW557699""","""AY.36.1""",59122
"""OV518212""","""AY.36.1""",59754
"""OV206370""","""AY.36.1""",59590
"""OV207270""","""AY.36.1""",59724
"""OV221803""","""AY.36.1""",59384
"""OW988830""","""AY.36.1""",59578
"""OV691438""","""AY.36.1""",59564
"""OV692768""","""AY.36.1""",59648
"""OV515929""","""AY.36.1""",59640
"""OV663686""","""AY.36.1""",59554
"""OV248506""","""AY.36.1""",59658
"""OV541130""","""AY.36.1""",59674
"""OV221917""","""AY.36.1""",59616
"""OV543000""","""AY.36.1""",59616
"""OV221978""","""AY.36.1""",59616
"""OW611170""","""AY.36.1""",59724
"""OV662012""","""AY.36.1""",59062
"""OV674995""","""AY.36.1""",59062
"""OV198045""","""AY.36.1""",59026
"""OV589860""","""AY.36.1""",59062
"""OX111782""","""AY.36.1""",59062
"""OV221755""","""AY.36.1""",59062
"""OW683437""","""AY.36.1""",59062
"""OV662208""","""AY.36.1""",59736
"""OV373216""","""AY.36.1""",59788
"""OX007838""","""AY.36.1""",59288
"""OV242571""","""AY.36.1""",58658
"""OW308001""","""AY.36.1""",59294
"""OV223472""","""AY.36.1""",59244
"""OV664438""","""AY.36.1""",59640
"""OV691333""","""AY.36.1""",59062
"""OV207574""","""AY.36.1""",59062
"""OV119878""","""AY.36.1""",59062
"""OV220137""","""AY.36.1""",59212
"""OV591139""","""AY.36.1""",59554
"""OV005779""","""AY.36.1""",59062
"""OV237978""","""AY.36.1""",59062
"""OV425748""","""AY.36.1""",59290
"""OV118634""","""AY.36.1""",59660
"""OV498248""","""AY.36.1""",59754
"""OV675015""","""AY.36.1""",59754
"""OV665709""","""AY.36.1""",59754
"""OV695400""","""AY.36.1""",59356
"""OV520639""","""AY.36.1""",59416
"""OW553803""","""AY.36.1""",59292
"""MT966183""","""B.1.509""",59414
"""MT993864""","""B.1.509""",59614
"""MW566904""","""B.1.509""",59602
"""MW280178""","""B.1.509""",59780
"""MT993866""","""B.1.509""",59742
"""MW491191""","""B.1.509""",59554
"""OL905224""","""B.1.509""",59062
"""MT966181""","""B.1.509""",59062
"""MW755789""","""B.1.509""",59614
"""MZ494643""","""B.1.509""",59654
"""MW984855""","""B.1.509""",59638
"""MZ405171""","""B.1.509""",59640
"""MW181586""","""B.1.509""",59590
"""MW930425""","""B.1.509""",59590
"""MW206625""","""B.1.509""",59062
"""MT956720""","""B.1.509""",59062
"""MW521422""","""B.1.509""",59062
"""OL825852""","""B.1.509""",59062
"""OL825866""","""B.1.509""",59590
"""MW929652""","""B.1.509""",59590
"""OL825823""","""B.1.509""",59660
"""MW056159""","""B.1.509""",59062
"""OM757075""","""B.1.509""",59062
"""MW925148""","""B.1.509""",59616
"""MW309484""","""B.1.509""",59622
"""MT966233""","""B.1.509""",59634
"""OL825928""","""B.1.509""",59616
"""MZ909903""","""B.1.509""",59616
"""OK598503""","""B.1.509""",59662
"""ON186119""","""B.1.509""",59636
"""MT966214""","""B.1.509""",59628
"""MW286603""","""B.1.509""",59628
"""MW406795""","""B.1.509""",59378
"""MT993867""","""B.1.509""",59278
"""MW907426""","""B.1.509""",59288
"""OL381900""","""B.1.509""",59688
"""MW495930""","""B.1.509""",59266
"""MZ258080""","""B.1.509""",59332
"""MW338762""","""B.1.509""",59286
"""OK659704""","""B.1.509""",59290
"""MT966106""","""B.1.509""",59294
"""MW309476""","""B.1.509""",59290
"""MT846488""","""B.1.509""",59388
"""MW566856""","""B.1.509""",59126
"""MW206549""","""B.1.509""",59350
"""MW928341""","""B.1.509""",59290
"""OL816987""","""B.1.509""",59290
"""OK659059""","""B.1.509""",59026
"""MW023569""","""B.1.509""",59286
"""MW673629""","""B.1.509""",58636
"""MW590882""","""B.1.509""",58644
"""MZ490419""","""B.1.509""",59336
"""OL825822""","""B.1.509""",59738
"""MZ908001""","""B.1.509""",59604
"""MW023528""","""B.1.509""",59738
"""MW341989""","""B.1.509""",59740
"""MZ636089""","""B.1.509""",59688
"""MT966193""","""B.1.509""",59554
"""OL825892""","""B.1.509""",59554
"""MT772447""","""B.1.509""",59564
"""MW286529""","""B.1.509""",59564
"""MW490810""","""B.1.509""",59062
"""MW208018""","""B.1.509""",59062
"""MT890313""","""B.1.509""",59062
"""MW206580""","""B.1.509""",59026
"""MW490800""","""B.1.509""",59594
"""MW286526""","""B.1.509""",59212
"""MW698774""","""B.1.509""",59636
"""OK425273""","""B.1.509""",59080
"""MW280169""","""B.1.509""",59626
"""MW490854""","""B.1.509""",59616
"""MW009055""","""B.1.509""",59616
"""OL825860""","""B.1.509""",59616
"""MW490861""","""B.1.509""",59080
"""MW863937""","""B.1.509""",59554
"""MW206403""","""B.1.509""",59662
"""OL381154""","""B.1.509""",59080
"""MW166165""","""B.1.509""",59080
"""OK557508""","""B.1.509""",59080
"""MW244008""","""B.1.509""",59796
"""MZ635747""","""B.1.509""",59796
"""MW206550""","""B.1.509""",58658
"""MW023399""","""B.1.509""",59168
"""MW306418""","""B.1.509""",59286
"""MW635741""","""B.1.509""",59256
"""MW310414""","""B.1.509""",59538
"""MW206435""","""B.1.509""",59356
"""MT750109""","""B.1.509""",59416
"""MW495892""","""B.1.509""",59356
"""OK425414""","""B.1.509""",59418
"""ON168433""","""B.1.509""",59292
"""OK598524""","""B.1.509""",58730
"""OL825887""","""B.1.509""",59356
"""MW668484""","""B.1.509""",59616
"""MW292638""","""B.1.509""",59640
"""MW916427""","""B.1.509""",59062
"""MW023580""","""B.1.509""",59554
"""MT893674""","""B.1.509""",59554
"""MW023530""","""B.1.509""",59554
"""MW780179""","""B.1.509""",59554
"""MW907510""","""B.1.509""",59554
"""MW925392""","""B.1.509""",59554
"""MW280168""","""B.1.509""",59554
"""OL825858""","""B.1.509""",59554
"""MW454665""","""B.1.509""",59554
"""MW496000""","""B.1.509""",59554
"""MW075759""","""B.1.509""",59548
"""MZ908464""","""B.1.509""",59662
"""MW476627""","""B.1.509""",59416
"""MW482863""","""B.1.509""",59200
"""MT929046""","""B.1.509""",59112
"""MZ313090""","""B.1.509""",58636
"""MW240763""","""B.1.509""",59212
"""MZ438619""","""B.1.509""",59410
"""OK466507""","""B.1.509""",59456
"""MW490780""","""B.1.509""",59290
"""MT966177""","""B.1.509""",59538
"""OK598909""","""B.1.509""",59556
"""MT834688""","""B.1.509""",59482
"""MW634229""","""B.1.509""",59418
"""MT956731""","""B.1.509""",59408
"""MT956736""","""B.1.509""",59292
"""OL825821""","""B.1.509""",59358
"""MT890316""","""B.1.509""",58208
"""OA974415""","""B.1.509""",59616
"""MT956771""","""B.1.509""",59662
"""MW023561""","""B.1.509""",59626
"""MW586041""","""B.1.509""",59624
"""MW217352""","""B.1.509""",59646
"""MW639543""","""B.1.509""",59688
"""MW286619""","""B.1.509""",59738
"""MW338761""","""B.1.509""",59740
"""OU039748""","""B.1.509""",59796
"""MW907514""","""B.1.509""",59796
"""MZ842181""","""B.1.509""",59796
"""OK623294""","""B.1.509""",59796
"""OU281440""","""B.1.509""",59796
"""MT846414""","""B.1.509""",59814
"""MT966099""","""B.1.509""",59796
"""MT846491""","""B.1.509""",59062
"""MW206576""","""B.1.509""",59068
"""MZ493936""","""B.1.509""",59062
"""OU170065""","""B.1.509""",58150
"""MW280161""","""B.1.509""",58692
"""OL825929""","""B.1.509""",58940
"""MZ411526""","""B.1.509""",59662
"""OM913678""","""B.1.509""",59554
"""MT846489""","""B.1.509""",59554
"""MT966159""","""B.1.509""",59340
"""MW056121""","""B.1.509""",59554
"""MW519671""","""B.1.509""",59062
"""MZ908349""","""B.1.509""",59062
"""MZ635871""","""B.1.509""",59062
"""MW206401""","""B.1.509""",59554
"""MT981107""","""B.1.509""",59248
"""MW446840""","""B.1.509""",59288
"""MW523442""","""B.1.509""",59634
"""MZ411527""","""B.1.509""",59610
"""MW338802""","""B.1.509""",59616
"""MW286527""","""B.1.509""",59684
"""MT966204""","""B.1.509""",59806
"""MW286588""","""B.1.509""",59806
"""MZ411524""","""B.1.509""",59806
"""OL709461""","""B.1.509""",59806
"""MW454536""","""B.1.509""",59806
"""MW049022""","""B.1.509""",59806
"""OL381352""","""B.1.509""",59538
"""ON167758""","""B.1.509""",59678
"""MW523441""","""B.1.509""",59574
"""MW040641""","""B.1.509""",59538
"""MZ189401""","""B.1.509""",59538
"""OL589105""","""B.1.509""",59602
"""MW286620""","""B.1.509""",59182
"""MT890311""","""B.1.509""",59632
"""MW023555""","""B.1.509""",59650
"""MT890309""","""B.1.509""",59650
"""MT966173""","""B.1.509""",59654
"""OE998404""","""B.1.509""",59630
"""MW023401""","""B.1.509""",59638
"""MW665625""","""B.1.509""",59636
"""MW446843""","""B.1.509""",59642
"""MW672721""","""B.1.509""",59632
"""MW925361""","""B.1.509""",59648
"""MT966210""","""B.1.509""",59604
"""MW049011""","""B.1.509""",59638
"""MW521467""","""B.1.509""",59648
"""OL365706""","""B.1.509""",59654
"""MW566817""","""B.1.509""",59662
"""MW780126""","""B.1.509""",59062
"""MT981106""","""B.1.509""",59538
"""OK659735""","""B.1.509""",59634
"""MW040606""","""B.1.509""",59616
"""MZ497202""","""B.1.509""",59616
"""MT890331""","""B.1.509""",59600
"""OL826022""","""B.1.509""",59616
"""MT893661""","""B.1.509""",59616
"""MW023516""","""B.1.509""",59634
"""MT966242""","""B.1.509""",59616
"""MZ494642""","""B.1.509""",59634
"""MW882467""","""B.1.509""",59554
"""MW206416""","""B.1.509""",59554
"""MW944719""","""B.1.509""",59554
"""MW338803""","""B.1.509""",59554
"""MW446834""","""B.1.509""",59554
"""ON166746""","""B.1.509""",59554
"""MW566848""","""B.1.509""",59554
"""MT956721""","""B.1.509""",59554
"""MZ378161""","""B.1.509""",59652
"""MW921616""","""B.1.509""",59654
"""MW166065""","""B.1.509""",59686
"""MT981105""","""B.1.509""",59062
"""MW049012""","""B.1.509""",59522
"""MW286621""","""B.1.509""",59600
"""MT956807""","""B.1.509""",59538
"""MW420893""","""B.1.509""",59616
"""MW056165""","""B.1.509""",59616
"""MW286651""","""B.1.509""",59616
"""MW292633""","""B.1.509""",59610
"""OU281192""","""B.1.509""",59616
"""MW023567""","""B.1.509""",59554
"""MW637394""","""B.1.509""",59672
"""MW306419""","""B.1.509""",59806
"""MT956795""","""B.1.509""",59588
"""MT993868""","""B.1.509""",59588
"""MW566488""","""B.1.509""",59622
"""MT993865""","""B.1.509""",59618
"""OL678880""","""B.1.509""",59598
"""OK547828""","""B.1.509""",59554
"""MW522419""","""B.1.509""",59554
"""MW873421""","""B.1.509""",59646
"""ON168657""","""B.1.509""",59662
"""MW023553""","""B.1.509""",59634
"""MW698772""","""B.1.509""",59618
"""OL825875""","""B.1.509""",59600
"""MW338763""","""B.1.509""",59640
"""MW023552""","""B.1.509""",59616
"""MW522483""","""B.1.509""",59584
"""MW206622""","""B.1.509""",59564
"""MW767335""","""B.1.509""",59554
"""MW446836""","""B.1.509""",59662
"""MT966180""","""B.1.509""",59662
"""OL825901""","""B.1.509""",59626
"""MW863931""","""B.1.509""",59646
"""MT993869""","""B.1.509""",59662
"""MW490742""","""B.1.509""",59646
"""MW206579""","""B.1.509""",59688
"""MW206548""","""B.1.509""",59674
"""MW907456""","""B.1.509""",59600
"""MW666256""","""B.1.509""",59616
"""MZ474039""","""B.1.509""",59600
"""OK440091""","""B.1.509""",59600
"""MW773997""","""B.1.509""",59600
"""MW522405""","""B.1.509""",59592
"""OU281375""","""B.1.509""",59554
"""MZ908255""","""B.1.509""",59124
"""MW023526""","""B.1.509""",59672
"""MT966100""","""B.1.509""",59358
"""MT956728""","""B.1.509""",58996
"""MW673562""","""B.1.509""",59482
"""MW206405""","""B.1.509""",59536
"""MT890314""","""B.1.509""",59534
"""OM484979""","""B.1.509""",58980
"""OK659543""","""B.1.509""",59342
"""MZ916190""","""B.1.509""",59522
"""MW023434""","""B.1.509""",59468
"""MW638073""","""B.1.509""",59054
"""OL365419""","""B.1.509""",59538
"""MW635466""","""B.1.509""",59520
"""MW197476""","""B.1.509""",59636
"""OL381532""","""B.1.509""",59610
"""MW309450""","""B.1.509""",59724
"""MT890312""","""B.1.509""",59590
"""MW635111""","""B.1.509""",59574
"""MW310434""","""B.1.509""",59062
"""MZ722491""","""B.1.509""",59538
"""MW345274""","""B.1.509""",59546
"""MW345275""","""B.1.509""",59684
"""MT966105""","""B.1.509""",59734
"""MW491228""","""B.1.509""",59080
"""MW292637""","""B.1.509""",59600
"""MT966103""","""B.1.509""",59600
"""MT846417""","""B.1.509""",59600
"""MW181585""","""B.1.509""",59650
"""MW166064""","""B.1.509""",59600
"""MW340741""","""B.1.509""",59484
"""OM757060""","""B.1.509""",59356
"""MW698748""","""B.1.509""",58808
"""MW309480""","""B.1.509""",59290
"""OL844225""","""B.1.509""",59356
"""OK598448""","""B.1.509""",59596
"""MT893663""","""B.1.509""",59600
"""MW474268""","""B.1.509""",59104
"""MT966185""","""B.1.509""",59062
"""MW206547""","""B.1.509""",58860
"""MT966101""","""B.1.509""",59534
"""OU281369""","""B.1.509""",59524
"""MT966158""","""B.1.509""",58616
"""MT966095""","""B.1.509""",58860
"""MW454659""","""B.1.509""",58980
"""OL551547""","""B.1.509""",59356
"""MT890343""","""B.1.509""",59290
"""MW075760""","""B.1.509""",59590
"""MW023592""","""B.1.509""",59600
"""MW229264""","""B.1.509""",59600
"""MW067735""","""B.1.509""",59590
"""MW907427""","""B.1.509""",59590
"""OA978379""","""B.1.509""",59590
"""MW206614""","""B.1.509""",59056
"""MZ360545""","""B.1.509""",59466
"""MW206605""","""B.1.509""",59402
"""OL825903""","""B.1.509""",58676
"""OL817005""","""B.1.509""",58378
"""MW166066""","""B.1.509""",59574
"""MT846490""","""B.1.509""",59640
"""MZ911650""","""B.1.509""",59600
"""MZ487724""","""B.1.509""",59612
"""MT966179""","""B.1.509""",59600
"""ON067780""","""B.1.509""",59600
"""MW925602""","""B.1.509""",59600
"""MT890351""","""B.1.509""",59736
"""MW521686""","""B.1.509""",59684
"""MW984691""","""B.1.509""",59228
"""OL826679""","""B.1.509""",59730
"""MW482862""","""B.1.509""",59728
"""MT966186""","""B.1.509""",59626
"""MW666186""","""B.1.509""",59626
"""OK427118""","""B.1.509""",59626
"""MZ908220""","""B.1.509""",59730
"""MT966098""","""B.1.509""",59804
"""MT834686""","""B.1.509""",59364
"""MW206559""","""B.1.509""",59742
"""MT966217""","""B.1.509""",59482
"""MT981104""","""B.1.509""",59728
"""MW495198""","""B.1.509""",59538
"""MW883258""","""B.1.509""",59722
"""MW075758""","""B.1.509""",59684
"""MT966161""","""B.1.509""",59722
"""MZ636287""","""B.1.509""",59684
"""OK467611""","""B.1.509""",59684
"""MW067730""","""B.1.509""",59734
"""OM264335""","""B.1.509""",59734
"""MW850346""","""B.1.509""",58980
"""OK659560""","""B.1.509""",58858
"""MZ914973""","""B.1.509""",58860
"""MW070112""","""B.1.509""",58980
"""MT890310""","""B.1.509""",59402
"""MT966212""","""B.1.509""",59532
"""OU281970""","""B.1.509""",59466
"""MW023543""","""B.1.509""",59406
"""MW023566""","""B.1.509""",58798
"""MW056170""","""B.1.509""",59534
"""MW643823""","""B.1.509""",59226
"""MW644501""","""B.1.509""",59534
"""MW166145""","""B.1.509""",59532
"""ON168575""","""B.1.509""",59340
"""MT966213""","""B.1.509""",59538
"""MW338760""","""B.1.509""",58922
"""MW031088""","""B.1.509""",59734
"""MW863878""","""B.1.509""",59684
"""MT893659""","""B.1.509""",59716
"""MW206404""","""B.1.509""",59734
"""MW972779""","""B.1.509""",59646
"""MT966205""","""B.1.509""",59538
"""MW023512""","""B.1.509""",59538
"""MW638793""","""B.1.509""",59538
"""MW474276""","""B.1.509""",59554
"""MW907580""","""B.1.509""",59538
"""ON339605""","""B.1.509""",59662
"""MW049008""","""B.1.509""",59612
"""MW023402""","""B.1.509""",59662
"""MW023570""","""B.1.509""",59662
"""MW023551""","""B.1.509""",59602
"""MT704089""","""B.1.509""",59418
"""MW493934""","""B.1.509""",59400
"""MT890337""","""B.1.509""",59374
"""MW338799""","""B.1.509""",59248
"""OK654060""","""B.1.509""",59276
"""MW023534""","""B.1.509""",59466
"""MW280153""","""B.1.509""",59358
"""MT966178""","""B.1.509""",58926
"""MW166169""","""B.1.509""",59406
"""MW056146""","""B.1.509""",58792
"""OL905228""","""B.1.509""",59406
"""MW667452""","""B.1.509""",59534
"""OL365530""","""B.1.509""",59398
"""MT893691""","""B.1.509""",59466
"""MW870254""","""B.1.509""",59532
"""MZ488134""","""B.1.509""",59054
"""OL825906""","""B.1.509""",59038
"""MZ636282""","""B.1.509""",59660
"""MW483266""","""B.1.509""",59646
"""MW490818""","""B.1.509""",59600
"""MT967963""","""B.1.509""",59594
"""MW056157""","""B.1.509""",59618
"""MW907419""","""B.1.509""",59794
"""OM757683""","""B.1.509""",59794
"""MW490852""","""B.1.509""",59794
"""OL825883""","""B.1.509""",59794
"""MW490799""","""B.1.509""",59794
"""OK659285""","""B.1.509""",59794
"""MW023568""","""B.1.509""",59794
"""MW056154""","""B.1.509""",59794
"""MW925487""","""B.1.509""",59794
"""MW009107""","""B.1.509""",59794
"""OL825751""","""B.1.509""",59794
"""OL825888""","""B.1.509""",59794
"""OL826002""","""B.1.509""",59806
"""MW023536""","""B.1.509""",59806
"""MW049013""","""B.1.509""",59794
"""MZ917128""","""B.1.509""",59794
"""MW566931""","""B.1.509""",59794
"""MW049019""","""B.1.509""",59794
"""OL817004""","""B.1.509""",59794
"""MT956802""","""B.1.509""",59794
"""OL825924""","""B.1.509""",59806
"""OK598626""","""B.1.509""",59794
